77.237 78.761 27.012 40.915 27.848
87.690 72.493 48.837 32.690 1.898
7.076 0.559 61.136 80.778 19.738
49.337 80.126 12.086 69.767 60.248
63.224 45.959 89.909 91.210 47.068
45.335 26.216 91.220 51.016 32.710
51.094 91.909 55.521 19.417 23.974
23.545 21.212 12.348 64.746 89.230
37.839 21.299 27.790 8.799 48.801
72.236 58.678 7.098 58.762 83.803
20.384 34.669 34.104 92.008 20.895
37.104 50.261 11.346 59.699 40.109
81.466 61.303 79.617 71.153 85.183
32.644 16.092 58.338 95.122 73.229
32.821 51.611 80.586 83.234 69.655
54.927 77.400 55.190 42.759 49.283
68.770 1.530 60.976 31.620 54.102
69.842 74.013 40.357 70.529 61.943
78.280 4.947 84.217 23.480 89.095
40.751 21.588 75.805 27.665 36.684
54.625 41.541 66.428 26.641 22.439
54.584 19.887 85.899 29.025 86.940
62.169 27.263 96.315 30.162 73.372
82.891 92.542 14.023 19.185 40.567
1.136 11.830 37.230 13.863 72.569
90.434 43.400 5.989 19.900 96.184
9.008 84.147 28.748 78.044 84.657
19.135 77.792 95.347 27.589 96.856
65.020 98.992 5.176 3.100 32.678
23.692 58.813 50.843 88.755 44.999
46.802 98.192 69.999 13.908 24.075
43.860 47.308 98.915 28.526 82.727
2.472 2.342 23.700 34.945 45.317
88.849 53.781 61.834 99.277 84.453
16.617 43.437 4.572 54.097 93.107
3.301 49.675 28.556 54.343 46.948
11.712 61.875 6.971 81.092 13.646
50.360 72.030 3.568 82.072 53.009
73.338 75.402 93.872 54.500 6.394
52.754 83.290 75.017 68.654 17.071
9.340 81.383 90.247 5.379 83.266
28.059 52.374 60.611 72.663 55.131
28.536 11.486 98.130 54.624 8.595
70.425 3.901 12.425 92.450 78.665
10.318 28.308 2.940 80.316 20.150
5.349 21.666 51.053 89.971 85.380
18.694 13.936 55.789 88.190 80.695
31.468 15.789 55.965 30.480 24.741
41.023 62.097 64.018 54.769 17.756
68.455 14.574 80.369 83.273 18.245
57.977 7.343 5.806 10.646 48.821
72.175 10.946 2.381 48.340 46.112
33.547 71.584 47.252 7.931 70.029
55.432 33.804 64.549 36.086 75.309
80.763 33.834 7.721 18.070 94.638
66.691 71.993 29.196 17.348 86.956
71.063 51.066 58.803 87.082 93.777
63.939 0.821 90.820 81.011 42.219
19.323 6.952 52.353 66.757 33.461
67.573 95.590 67.540 85.766 73.567
74.756 4.217 44.931 98.440 30.610
88.228 60.253 86.703 6.598 36.514
18.630 88.554 53.400 7.813 83.404
14.549 21.427 3.757 89.489 16.801
70.781 8.212 4.694 14.741 74.237
33.645 83.987 73.096 5.137 49.430
96.308 23.651 41.543 60.603 74.246
70.106 35.759 80.023 19.525 46.435
87.906 4.054 26.712 40.568 82.633
64.060 52.880 40.778 12.055 8.822
62.526 6.263 55.598 62.622 3.054
81.538 89.888 64.534 14.428 94.217
32.921 92.432 25.408 17.684 93.891
21.046 42.918 58.761 69.116 82.915
61.856 48.506 17.628 98.178 94.178
91.248 7.882 82.737 24.805 7.824
65.326 11.487 13.120 52.578 93.827
53.257 66.533 67.777 27.289 9.787
29.434 18.481 58.835 76.019 42.929
67.660 92.567 49.106 69.168 48.334
80.703 39.394 32.644 79.380 75.890
94.570 28.200 50.544 64.676 3.709
76.554 81.988 29.337 15.944 48.465
67.412 20.684 94.342 74.627 82.393
92.398 3.514 8.858 63.454 49.311
99.129 91.446 19.020 47.613 21.294
64.950 81.014 14.732 55.237 36.668
13.899 26.740 20.872 97.219 64.887
24.932 72.457 56.282 84.969 0.179
94.466 21.027 38.577 34.679 20.235
32.352 9.383 30.753 21.181 31.005
3.001 1.303 49.227 90.369 36.040
35.222 33.083 92.201 69.450 37.540
93.636 16.063 3.408 68.241 71.163
18.958 73.126 63.382 6.043 71.437
17.177 73.687 69.697 35.620 97.057
30.943 71.479 35.044 95.648 86.514
52.937 7.310 5.367 87.794 39.628
80.893 74.357 74.113 9.377 22.239
48.996 35.199 81.886 35.721 63.837
